Item 1,Item 2,Result,Result Description
Designer Wallet,Agility Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Al Bhed Potion,Hero Drink,High critical hit rate for one party member.
Designer Wallet,Amulet,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Antarctic Wind,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Antidote,Hero Drink,High critical hit rate for one party member.
Designer Wallet,Arctic Wind,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Attribute Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Black Magic Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Blessed Gem,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Bomb Core,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Bomb Fragment,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Candle of Life,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Chocobo Feather,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Chocobo Wing,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Clear Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Dark Matter,Sunburst,"Deals exactly 19,998 damage to all enemies."
Designer Wallet,Defense Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Designer Wallet,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Door to Tomorrow,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Dragon Scale,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Dream Powder,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Echo Screen,Hero Drink,High critical hit rate for one party member.
Designer Wallet,Electro Marble,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Elixir,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Ether,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Evasion Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Eye Drops,Hero Drink,High critical hit rate for one party member.
Designer Wallet,Farplane Shadow,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Farplane Wind,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Fire Gem,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Fish Scale,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Fortune Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Frag Grenade,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Friend Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Gambler's Spirit,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Gold Hourglass,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Grenade,Hero Drink,High critical hit rate for one party member.
Designer Wallet,Healing Spring,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Healing Water,Hero Drink,High critical hit rate for one party member.
Designer Wallet,Hi-Potion,Hero Drink,High critical hit rate for one party member.
Designer Wallet,Holy Water,Hero Drink,High critical hit rate for one party member.
Designer Wallet,HP Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Hypello Potion,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Ice Gem,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Lv. 1 Key Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Lv. 2 Key Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Lv. 3 Key Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Lv. 4 Key Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Light Curtain,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Lightning Gem,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Lightning Marble,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Luck Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Lunar Curtain,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Magic Defense Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Magic Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Mana Distiller,Hero Drink,High critical hit rate for one party member.
Designer Wallet,Mana Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Mana Spring,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Mana Tablet,Hyper Mana,Doubles max MP and casts Focus on all party members.
Designer Wallet,Mana Tonic,Hyper Mana,Doubles max MP and casts Focus on all party members.
Designer Wallet,Map,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Master Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Megalixir,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Mega Phoenix,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Mega Potion,Hero Drink,High critical hit rate for one party member.
Designer Wallet,MP Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Musk,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Pendulum,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Petrify Grenade,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Phoenix Down,Hero Drink,High critical hit rate for one party member.
Designer Wallet,Poison Fang,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Potion,Hero Drink,High critical hit rate for one party member.
Designer Wallet,Power Distiller,Hero Drink,High critical hit rate for one party member.
Designer Wallet,Power Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Purifying Salt,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Remedy,Hero Drink,High critical hit rate for one party member.
Designer Wallet,Rename Card,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Return Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Shadow Gem,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Shining Gem,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Shining Thorn,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Silence Grenade,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Silver Hourglass,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Skill Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Sleeping Powder,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Smoke Bomb,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Soft,Hero Drink,High critical hit rate for one party member.
Designer Wallet,Soul Spring,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Special Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Speed Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Stamina Spring,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Stamina Tablet,Mega Vitality,Doubles max HP of all party members.
Designer Wallet,Stamina Tonic,Hyper Vitality,Doubles max HP and bestows Cheer x5 on all party members.
Designer Wallet,Star Curtain,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Strength Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Supreme Gem,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Teleport Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Tetra Elemental,Hero Drink,High critical hit rate for one party member.
Designer Wallet,Three Stars,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Turbo Ether,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Twin Stars,Freedom X,No MP Cost for all party members.
Designer Wallet,Underdog's Secret,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Warp Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Water Gem,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,White Magic Sphere,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Wings to Discovery,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,Winning Formula,Miracle Drink,High critical hit rate for all party members.
Designer Wallet,X-Potion,Hero Drink,High critical hit rate for one party member.
Door to Tomorrow,Ability Distiller,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Door to Tomorrow,Ability Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Door to Tomorrow,Accuracy Sphere,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Door to Tomorrow,Agility Distiller,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Door to Tomorrow,Agility Sphere,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Door to Tomorrow,Al Bhed Potion,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Door to Tomorrow,Amulet,Eccentrick,Overdrive Gauges fill up at 2x rate for all party members.
Door to Tomorrow,Antarctic Wind,Winter Storm,Deals large amounts of damage in nine bursts to all enemies.
Door to Tomorrow,Antidote,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Door to Tomorrow,Arctic Wind,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Door to Tomorrow,Attribute Sphere,Tallboy,Deals very large amounts of damage to all enemies.
Door to Tomorrow,Black Magic Sphere,Tallboy,Deals very large amounts of damage to all enemies.
Door to Tomorrow,Blessed Gem,Trio of 9999,All abilities inflict a minimum of 9999 damage or restoration with each hit for all party members.
Door to Tomorrow,Bomb Core,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Door to Tomorrow,Bomb Fragment,Burning Soul,Deals large amounts of damage in nine bursts to all enemies.
Door to Tomorrow,Candle of Life,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Door to Tomorrow,Chocobo Feather,Super Mighty G,"Bestows Protect, Shell, Haste, and Regen on all party members."
Door to Tomorrow,Chocobo Wing,Hyper Mighty G,"Bestows Protect, Shell, Haste, Regen, and Auto-Life on all party members."
Door to Tomorrow,Clear Sphere,Tallboy,Deals very large amounts of damage to all enemies.
Door to Tomorrow,Dark Matter,Sunburst,"Deals exactly 19,998 damage to all enemies."
Door to Tomorrow,Defense Sphere,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Door to Tomorrow,Designer Wallet,Miracle Drink,High critical hit rate for all party members.
Door to Tomorrow,Door to Tomorrow,Trio of 9999,All abilities inflict a minimum of 9999 damage or restoration with each hit for all party members.
Door to Tomorrow,Dragon Scale,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Door to Tomorrow,Dream Powder,Tallboy,Deals very large amounts of damage to all enemies.
Door to Tomorrow,Echo Screen,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Door to Tomorrow,Electro Marble,Lightning Bolt,Deals large amounts of damage in nine bursts to all enemies.
Door to Tomorrow,Elixir,Eccentrick,Overdrive Gauges fill up at 2x rate for all party members.
Door to Tomorrow,Ether,Freedom X,No MP Cost for all party members.
Door to Tomorrow,Evasion Sphere,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Door to Tomorrow,Eye Drops,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Door to Tomorrow,Farplane Shadow,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Door to Tomorrow,Farplane Wind,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Door to Tomorrow,Fire Gem,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Door to Tomorrow,Fish Scale,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
Door to Tomorrow,Fortune Sphere,Miracle Drink,High critical hit rate for all party members.
Door to Tomorrow,Frag Grenade,Tallboy,Deals very large amounts of damage to all enemies.
Door to Tomorrow,Friend Sphere,Tallboy,Deals very large amounts of damage to all enemies.
Door to Tomorrow,Gambler's Spirit,Trio of 9999,All abilities inflict a minimum of 9999 damage or restoration with each hit for all party members.
Door to Tomorrow,Gold Hourglass,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Door to Tomorrow,Grenade,Tallboy,Deals very large amounts of damage to all enemies.
Door to Tomorrow,Healing Spring,Hyper Mighty G,"Bestows Protect, Shell, Haste, Regen, and Auto-Life on all party members."
Door to Tomorrow,Healing Water,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Door to Tomorrow,Hi-Potion,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Door to Tomorrow,Holy Water,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Door to Tomorrow,HP Sphere,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Door to Tomorrow,Hypello Potion,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Door to Tomorrow,Ice Gem,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Door to Tomorrow,Lv. 1 Key Sphere,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Door to Tomorrow,Lv. 2 Key Sphere,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Door to Tomorrow,Lv. 3 Key Sphere,Trio of 9999,All abilities inflict a minimum of 9999 damage or restoration with each hit for all party members.
Door to Tomorrow,Lv. 4 Key Sphere,Trio of 9999,All abilities inflict a minimum of 9999 damage or restoration with each hit for all party members.
Door to Tomorrow,Light Curtain,Hyper Mighty G,"Bestows Protect, Shell, Haste, Regen, and Auto-Life on all party members."
Door to Tomorrow,Lightning Gem,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Door to Tomorrow,Lightning Marble,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Door to Tomorrow,Luck Sphere,Miracle Drink,High critical hit rate for all party members.
Door to Tomorrow,Lunar Curtain,Hyper Mighty G,"Bestows Protect, Shell, Haste, Regen, and Auto-Life on all party members."
Door to Tomorrow,Magic Defense Sphere,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Door to Tomorrow,Magic Sphere,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Door to Tomorrow,Mana Distiller,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Door to Tomorrow,Mana Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Door to Tomorrow,Mana Spring,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Door to Tomorrow,Mana Tablet,Eccentrick,Overdrive Gauges fill up at 2x rate for all party members.
Door to Tomorrow,Mana Tonic,Eccentrick,Overdrive Gauges fill up at 2x rate for all party members.
Door to Tomorrow,Map,Cluster Bomb,Deals large amounts of damage to all enemies.
Door to Tomorrow,Master Sphere,Sunburst,"Deals exactly 19,998 damage to all enemies."
Door to Tomorrow,Megalixir,Eccentrick,Overdrive Gauges fill up at 2x rate for all party members.
Door to Tomorrow,Mega Phoenix,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Door to Tomorrow,Mega Potion,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Door to Tomorrow,MP Sphere,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Door to Tomorrow,Musk,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Door to Tomorrow,Pendulum,Eccentrick,Overdrive Gauges fill up at 2x rate for all party members.
Door to Tomorrow,Petrify Grenade,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Door to Tomorrow,Phoenix Down,Final Phoenix,Restores full HP and revives all KO'd party members with full HP.
Door to Tomorrow,Poison Fang,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Door to Tomorrow,Potion,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Door to Tomorrow,Power Distiller,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Door to Tomorrow,Power Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Door to Tomorrow,Purifying Salt,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Door to Tomorrow,Remedy,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Door to Tomorrow,Rename Card,Cluster Bomb,Deals large amounts of damage to all enemies.
Door to Tomorrow,Return Sphere,Tallboy,Deals very large amounts of damage to all enemies.
Door to Tomorrow,Shadow Gem,Black Hole,Reduces enemies' HP by 15/16 of their current HP.
Door to Tomorrow,Shining Gem,Trio of 9999,All abilities inflict a minimum of 9999 damage or restoration with each hit for all party members.
Door to Tomorrow,Shining Thorn,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Door to Tomorrow,Silence Grenade,Tallboy,Deals very large amounts of damage to all enemies.
Door to Tomorrow,Silver Hourglass,Chaos Grenade,"Deals very large amounts of damage plus Full Break, Slow, Poison, Darkness, Silence and Sleep for eight rounds on all enemies."
Door to Tomorrow,Skill Sphere,Tallboy,Deals very large amounts of damage to all enemies.
Door to Tomorrow,Sleeping Powder,Tallboy,Deals very large amounts of damage to all enemies.
Door to Tomorrow,Smoke Bomb,Tallboy,Deals very large amounts of damage to all enemies.
Door to Tomorrow,Soft,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Door to Tomorrow,Soul Spring,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Door to Tomorrow,Special Sphere,Tallboy,Deals very large amounts of damage to all enemies.
Door to Tomorrow,Speed Sphere,Cluster Bomb,Deals large amounts of damage to all enemies.
Door to Tomorrow,Stamina Spring,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Door to Tomorrow,Stamina Tablet,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Door to Tomorrow,Stamina Tonic,Eccentrick,Overdrive Gauges fill up at 2x rate for all party members.
Door to Tomorrow,Star Curtain,Hyper Mighty G,"Bestows Protect, Shell, Haste, Regen, and Auto-Life on all party members."
Door to Tomorrow,Strength Sphere,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Door to Tomorrow,Supreme Gem,Sunburst,"Deals exactly 19,998 damage to all enemies."
Door to Tomorrow,Teleport Sphere,Tallboy,Deals very large amounts of damage to all enemies.
Door to Tomorrow,Tetra Elemental,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Door to Tomorrow,Three Stars,Eccentrick,Overdrive Gauges fill up at 2x rate for all party members.
Door to Tomorrow,Turbo Ether,Freedom X,No MP Cost for all party members.
Door to Tomorrow,Twin Stars,Eccentrick,Overdrive Gauges fill up at 2x rate for all party members.
Door to Tomorrow,Underdog's Secret,Trio of 9999,All abilities inflict a minimum of 9999 damage or restoration with each hit for all party members.
Door to Tomorrow,Warp Sphere,Tallboy,Deals very large amounts of damage to all enemies.
Door to Tomorrow,Water Gem,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Door to Tomorrow,White Magic Sphere,Tallboy,Deals very large amounts of damage to all enemies.
Door to Tomorrow,Wings to Discovery,Trio of 9999,All abilities inflict a minimum of 9999 damage or restoration with each hit for all party members.
Door to Tomorrow,Winning Formula,Trio of 9999,All abilities inflict a minimum of 9999 damage or restoration with each hit for all party members.
Door to Tomorrow,X-Potion,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Dragon Scale,Ability Distiller,Waterfall,Deals small amounts of damage in five bursts to all enemies.
Dragon Scale,Ability Sphere,Waterfall,Deals small amounts of damage in five bursts to all enemies.
Dragon Scale,Accuracy Sphere,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
Dragon Scale,Agility Distiller,Waterfall,Deals small amounts of damage in five bursts to all enemies.
Dragon Scale,Agility Sphere,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
Dragon Scale,Al Bhed Potion,Flash Flood,Deals medium amounts of damage in six bursts to all enemies.
Dragon Scale,Amulet,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Dragon Scale,Antarctic Wind,Pineapple,Deals medium amounts of damage to all enemies.
Dragon Scale,Antidote,Waterfall,Deals small amounts of damage in five bursts to all enemies.
Dragon Scale,Arctic Wind,Pineapple,Deals medium amounts of damage to all enemies.
Dragon Scale,Attribute Sphere,Waterfall,Deals small amounts of damage in five bursts to all enemies.
Dragon Scale,Black Magic Sphere,Flash Flood,Deals medium amounts of damage in six bursts to all enemies.
Dragon Scale,Blessed Gem,Cluster Bomb,Deals large amounts of damage to all enemies.
Dragon Scale,Bomb Core,Pineapple,Deals medium amounts of damage to all enemies.
Dragon Scale,Bomb Fragment,Pineapple,Deals medium amounts of damage to all enemies.
Dragon Scale,Candle of Life,Aqua Toxin,"Deals medium amounts of damage in three bursts plus Poison, Darkness, Silence and Sleep for three rounds on all enemies."
Dragon Scale,Chocobo Feather,Aqua Toxin,"Deals medium amounts of damage in three bursts plus Poison, Darkness, Silence and Sleep for three rounds on all enemies."
Dragon Scale,Chocobo Wing,Aqua Toxin,"Deals medium amounts of damage in three bursts plus Poison, Darkness, Silence and Sleep for three rounds on all enemies."
Dragon Scale,Clear Sphere,Flash Flood,Deals medium amounts of damage in six bursts to all enemies.
Dragon Scale,Dark Matter,Trio of 9999,All abilities inflict a minimum of 9999 damage or restoration with each hit for all party members.
Dragon Scale,Defense Sphere,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
Dragon Scale,Designer Wallet,Miracle Drink,High critical hit rate for all party members.
Dragon Scale,Door to Tomorrow,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Dragon Scale,Dragon Scale,Flash Flood,Deals medium amounts of damage in six bursts to all enemies.
Dragon Scale,Dream Powder,Dark Rain,"Deals large amounts of damage in three bursts plus Poison, Darkness, Silence, Sleep and Full Break for three rounds on all enemies."
Dragon Scale,Echo Screen,Waterfall,Deals small amounts of damage in five bursts to all enemies.
Dragon Scale,Electro Marble,Waterfall,Deals small amounts of damage in five bursts to all enemies.
Dragon Scale,Elixir,Super Elixir,Cures abnormal status effects and gives full HP and MP recovery for all party members.
Dragon Scale,Ether,Mega Mana,Doubles max MP of all party members.
Dragon Scale,Evasion Sphere,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
Dragon Scale,Eye Drops,Waterfall,Deals small amounts of damage in five bursts to all enemies.
Dragon Scale,Farplane Shadow,Dark Rain,"Deals large amounts of damage in three bursts plus Poison, Darkness, Silence, Sleep and Full Break for three rounds on all enemies."
Dragon Scale,Farplane Wind,Dark Rain,"Deals large amounts of damage in three bursts plus Poison, Darkness, Silence, Sleep and Full Break for three rounds on all enemies."
Dragon Scale,Fire Gem,Potato Masher,Deals large amounts of damage to all enemies.
Dragon Scale,Fish Scale,Flash Flood,Deals medium amounts of damage in six bursts to all enemies.
Dragon Scale,Fortune Sphere,Miracle Drink,High critical hit rate for all party members.
Dragon Scale,Frag Grenade,Flash Flood,Deals medium amounts of damage in six bursts to all enemies.
Dragon Scale,Friend Sphere,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
Dragon Scale,Gambler's Spirit,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Dragon Scale,Gold Hourglass,Aqua Toxin,"Deals medium amounts of damage in three bursts plus Poison, Darkness, Silence and Sleep for three rounds on all enemies."
Dragon Scale,Grenade,Waterfall,Deals small amounts of damage in five bursts to all enemies.
Dragon Scale,Healing Spring,Aqua Toxin,"Deals medium amounts of damage in three bursts plus Poison, Darkness, Silence and Sleep for three rounds on all enemies."
Dragon Scale,Healing Water,Flash Flood,Deals medium amounts of damage in six bursts to all enemies.
Dragon Scale,Hi-Potion,Mega NulAll,Bestows all four Nul-Spells on all party members.
Dragon Scale,Holy Water,Waterfall,Deals small amounts of damage in five bursts to all enemies.
Dragon Scale,HP Sphere,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
Dragon Scale,Hypello Potion,Aqua Toxin,"Deals medium amounts of damage in three bursts plus Poison, Darkness, Silence and Sleep for three rounds on all enemies."
Dragon Scale,Ice Gem,Potato Masher,Deals large amounts of damage to all enemies.
Dragon Scale,Lv. 1 Key Sphere,Flash Flood,Deals medium amounts of damage in six bursts to all enemies.
Dragon Scale,Lv. 2 Key Sphere,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
Dragon Scale,Lv. 3 Key Sphere,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
Dragon Scale,Lv. 4 Key Sphere,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
Dragon Scale,Light Curtain,Super Mighty G,"Bestows Protect, Shell, Haste, and Regen on all party members."
Dragon Scale,Lightning Gem,Thunderbolt,Deals small amounts of damage in five bursts to all enemies.
Dragon Scale,Lightning Marble,Grenade,Deals small amounts of damage to all enemies.
Dragon Scale,Luck Sphere,Miracle Drink,High critical hit rate for all party members.
Dragon Scale,Lunar Curtain,Super Mighty G,"Bestows Protect, Shell, Haste, and Regen on all party members."
Dragon Scale,Magic Defense Sphere,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
Dragon Scale,Magic Sphere,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
Dragon Scale,Mana Distiller,Waterfall,Deals small amounts of damage in five bursts to all enemies.
Dragon Scale,Mana Sphere,Waterfall,Deals small amounts of damage in five bursts to all enemies.
Dragon Scale,Mana Spring,Aqua Toxin,"Deals medium amounts of damage in three bursts plus Poison, Darkness, Silence and Sleep for three rounds on all enemies."
Dragon Scale,Mana Tablet,Hyper Mana,Doubles max MP and casts Focus on all party members.
Dragon Scale,Mana Tonic,Hyper Mana,Doubles max MP and casts Focus on all party members.
Dragon Scale,Map,Waterfall,Deals small amounts of damage in five bursts to all enemies.
Dragon Scale,Master Sphere,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
Dragon Scale,Megalixir,Final Elixir,"Cures abnormal status effects, gives full HP and MP recovery, and revives all KO'd party members with full HP."
Dragon Scale,Mega Phoenix,Mega NulAll,Bestows all four Nul-Spells on all party members.
Dragon Scale,Mega Potion,Mega NulAll,Bestows all four Nul-Spells on all party members.
Dragon Scale,MP Sphere,Tidal Wave,Deals large amounts of damage in nine bursts to all enemies.
Dragon Scale,Musk,Aqua Toxin,"Deals medium amounts of damage in three bursts plus Poison, Darkness, Silence and Sleep for three rounds on all enemies."
Dragon Scale,Pendulum,Quartet of 9,All abilities inflict a minimum of 9999 damage or restoration with each hit for one party member.
Dragon Scale,Petrify Grenade,Aqua Toxin,"Deals medium amounts of damage in three bursts plus Poison, Darkness, Silence and Sleep for three rounds on all enemies."
Dragon Scale,Phoenix Down,NulAll,Bestows all four Nul-Spells on one party member.
Dragon Scale,Poison Fang,Aqua Toxin,"Deals medium amounts of damage in three bursts plus Poison, Darkness, Silence and Sleep for three rounds on all enemies."
Dragon Scale,Potion,NulAll,Bestows all four Nul-Spells on one party member.
Dragon Scale,Power Distiller,Waterfall,Deals small amounts of damage in five bursts to all enemies.
